1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,0
A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,A,A,A,0
A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,A,A,A,1
A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,A,A,B,0
A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,B,A,A,0
A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,B,B,A,A,A,A,0
A,A,A,A,A,A,C,A,B,A,A,A,A,A,B,A,B,A,A,A,A,0
A,A,A,A,A,A,C,A,B,A,A,A,A,B,A,A,B,A,A,A,A,0
A,A,A,A,A,A,C,A,B,B,A,B,A,A,A,A,B,A,B,A,A,0
A,A,A,A,A,A,D,A,A,A,D,A,A,A,B,A,A,A,A,A,A,1
A,A,A,A,A,A,D,A,A,A,D,A,A,A,B,A,B,A,A,A,B,0
A,A,A,A,A,B,B,D,B,B,A,B,A,A,A,A,B,A,B,A,B,0
A,A,A,A,A,B,C,A,B,B,A,B,A,A,A,A,B,A,B,A,A,0
A,A,A,A,A,B,C,A,B,B,A,B,A,A,A,A,B,A,B,A,A,1
A,A,A,A,A,B,C,A,B,B,A,B,A,A,A,A,B,A,B,A,B,0
A,A,A,A,A,B,C,A,B,B,A,B,A,A,B,A,B,A,B,A,A,0
A,B,A,A,A,B,C,A,B,B,A,B,A,A,A,A,B,A,B,A,C,0
B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,A,A,A,0
B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,A,A,A,1
B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,A,A,B,0
B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,B,A,A,0
B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,B,A,B,0
B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,B,B,A,A,A,A,0
B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,B,B,A,B,A,A,0
B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,B,B,A,B,A,B,0
B,A,A,A,A,A,C,A,B,B,A,B,A,A,A,A,B,A,A,A,A,0
B,A,A,A,A,A,C,A,B,B,A,B,A,A,A,A,B,A,B,A,A,0
B,A,A,A,A,A,C,A,B,B,A,B,A,A,B,A,B,A,B,A,B,0
B,A,A,A,A,A,D,A,B,A,A,A,A,A,A,A,A,A,A,A,A,0
B,A,A,A,A,B,B,C,B,B,A,B,A,A,A,A,B,A,B,A,B,0
B,A,A,A,A,B,B,C,B,B,A,B,B,A,A,B,B,A,B,A,B,0
B,A,A,A,A,B,B,C,B,B,B,B,C,B,A,C,B,A,B,B,A,0
B,A,A,A,A,B,B,D,B,B,A,B,A,A,A,A,B,A,B,A,B,0
B,A,A,A,A,B,B,D,B,B,A,B,B,A,A,A,B,A,B,A,A,0
B,A,A,A,A,B,B,D,B,B,A,B,B,A,A,A,B,A,B,A,B,0
B,A,A,A,A,B,C,A,B,A,A,A,A,A,A,A,B,A,B,A,A,0
B,A,A,A,A,B,C,A,B,B,A,B,A,A,A,A,B,A,B,A,A,0
B,A,A,A,A,B,C,A,B,B,A,B,A,A,A,A,B,A,B,A,B,0
B,A,A,A,A,B,C,A,B,B,A,B,A,A,A,A,B,B,B,B,B,0
B,A,A,A,A,B,C,A,B,B,A,B,A,A,A,B,B,A,B,A,A,0
B,A,A,A,A,B,C,A,B,B,A,B,A,A,A,B,B,A,B,A,B,0
B,A,A,A,A,B,C,A,B,B,A,B,A,A,A,C,B,A,B,A,B,0
B,A,A,A,A,B,C,A,B,B,A,B,A,A,A,C,B,B,B,A,A,1
B,A,A,A,A,B,C,A,B,B,A,B,A,A,B,A,B,A,B,A,A,0
B,A,A,A,A,B,C,A,B,B,A,B,A,A,B,A,B,A,B,A,B,0
B,A,A,A,A,B,C,A,B,B,A,B,A,A,B,B,B,A,B,A,A,0
B,A,A,A,A,B,C,A,B,B,A,B,A,A,B,B,B,A,B,A,B,0
B,A,A,A,A,B,C,A,B,B,A,B,A,B,A,A,B,A,B,A,A,0
B,A,A,A,A,B,C,A,B,B,A,B,A,B,A,B,B,A,B,A,A,0
B,A,A,A,A,B,C,A,B,B,A,B,A,B,A,C,B,A,B,A,A,0
B,A,A,A,A,B,C,A,B,B,A,B,A,B,A,C,B,B,B,A,A,0
B,A,A,A,A,B,C,A,B,B,A,B,A,B,B,B,B,A,B,A,A,0
B,A,A,A,A,B,C,A,B,B,A,B,A,B,B,B,B,A,B,A,B,0
B,A,A,A,A,B,C,A,B,B,A,B,A,B,B,C,B,A,B,A,B,0
B,A,A,A,A,B,C,A,B,B,A,B,B,A,A,A,B,A,B,A,A,0
B,A,A,A,A,B,C,A,B,B,A,B,B,A,A,A,B,A,B,A,B,0
B,A,A,A,A,B,C,A,B,B,A,B,B,A,A,A,B,A,B,B,B,0
B,A,A,A,A,B,C,A,B,B,A,B,B,A,A,B,B,A,B,B,B,0
B,A,A,A,A,B,C,A,B,B,A,B,B,A,A,B,B,B,B,B,A,0
B,A,A,A,A,B,C,A,B,B,A,B,B,A,A,B,B,B,B,B,B,0
B,A,A,A,A,B,C,A,B,B,A,B,B,A,A,C,B,B,B,A,B,0
B,A,A,A,A,B,C,A,B,B,A,B,B,A,B,A,B,A,B,A,B,0
B,A,A,A,A,B,C,A,B,B,A,B,B,A,B,B,B,A,B,A,A,0
B,A,A,A,A,B,C,A,B,B,A,B,B,A,B,B,B,A,B,B,B,0
B,A,A,A,A,B,C,A,B,B,A,B,B,B,A,C,B,A,B,A,A,0
B,A,A,A,A,B,C,A,B,B,A,B,B,B,A,C,B,A,B,B,A,0
B,A,A,A,A,B,C,A,B,B,A,B,B,B,A,C,B,B,B,A,A,0
B,A,A,A,A,B,C,A,B,B,A,B,B,B,A,C,B,B,B,A,B,0
B,A,A,A,A,B,C,A,B,B,A,B,B,B,B,B,B,A,B,A,A,0
B,A,A,A,A,B,C,A,B,B,A,B,B,B,B,B,B,A,B,A,B,0
B,A,A,A,A,B,C,A,B,B,A,B,C,A,A,A,B,A,B,A,A,0
B,A,A,A,A,B,C,A,B,B,A,B,C,A,A,A,B,A,B,A,B,0
B,A,A,A,A,B,C,A,B,B,A,B,C,A,A,A,B,B,B,B,B,0
B,A,A,A,A,B,C,A,B,B,A,B,C,A,A,B,B,A,B,A,B,0
B,A,A,A,A,B,C,A,B,B,A,B,C,A,A,B,B,A,B,B,B,0
B,A,A,A,A,B,C,A,B,B,B,B,B,A,B,B,B,B,B,B,B,0
B,A,A,A,A,B,C,A,C,A,A,A,A,A,A,A,B,A,B,A,A,0
B,A,A,A,A,B,C,A,C,B,A,B,A,A,A,A,B,B,B,A,A,0
B,A,A,A,A,B,C,A,C,B,A,B,A,A,B,A,B,B,B,B,A,0
B,A,A,A,A,B,C,A,C,B,A,B,A,B,A,B,B,A,B,A,A,0
B,A,A,A,A,B,C,A,C,B,A,B,A,B,A,C,B,A,B,A,A,0
B,A,A,A,A,B,C,A,C,B,A,B,B,A,A,A,B,A,B,A,A,0
B,A,A,A,A,B,C,A,C,B,A,B,B,A,A,B,B,A,B,A,A,0
B,A,A,A,A,B,C,A,C,B,A,B,B,A,A,B,B,B,B,A,B,0
B,A,A,A,A,B,C,A,C,B,A,B,B,B,A,B,B,A,B,A,A,0
B,A,A,A,A,B,C,A,C,B,A,B,B,B,B,C,B,B,B,B,A,0
B,A,A,A,A,B,C,A,C,B,A,B,C,A,A,C,B,B,B,B,B,0
B,A,A,A,A,B,C,A,C,B,A,B,C,A,A,C,B,B,B,B,B,1
B,A,A,A,A,B,C,A,C,B,B,B,B,B,B,C,B,B,B,B,A,0
B,A,A,A,A,B,C,B,B,B,A,B,B,A,B,A,C,A,B,A,B,0
B,A,A,A,B,B,B,D,B,B,B,B,B,A,A,A,B,A,B,B,A,0
B,A,A,A,B,B,B,D,B,B,B,B,B,A,A,A,C,B,B,B,B,0
B,A,A,A,B,B,B,D,B,B,B,B,B,B,A,B,C,B,B,B,B,0
B,A,A,A,B,B,B,D,B,B,B,B,C,A,A,A,B,B,B,B,A,0
B,A,A,A,B,B,B,D,B,B,B,B,C,A,A,B,B,A,B,B,B,0
B,A,A,A,B,B,B,D,B,B,B,B,C,A,B,A,B,B,B,C,B,0
B,A,A,A,B,B,C,A,B,B,A,B,B,A,B,B,B,A,B,B,B,0
B,A,A,A,B,B,C,A,B,B,B,B,A,A,A,A,B,A,B,B,A,0
B,A,A,A,B,B,C,A,B,B,B,B,A,A,A,A,B,B,B,B,A,0
B,A,A,A,B,B,C,A,B,B,B,B,B,A,A,B,B,A,B,B,A,0
B,A,A,A,B,B,C,A,B,B,B,B,B,A,A,B,B,B,B,B,A,0
B,A,A,A,B,B,C,A,B,B,B,B,B,A,B,B,B,B,B,B,B,0
B,A,A,A,B,B,C,A,B,B,B,B,C,A,A,B,B,B,B,B,A,0
B,A,A,A,B,B,C,A,B,B,B,B,C,A,A,C,B,B,B,B,B,0
B,A,A,A,B,B,C,A,B,B,B,B,C,A,A,C,C,B,B,B,B,0
B,A,A,A,B,B,C,A,C,B,B,B,A,A,A,A,B,B,B,B,A,0
B,A,A,A,B,B,C,A,C,B,B,B,A,B,A,B,B,C,B,B,A,1
B,A,A,A,B,B,C,A,C,B,B,B,B,A,A,A,B,B,B,B,A,0
B,A,A,A,B,B,C,A,C,B,B,B,B,A,A,A,B,B,B,B,B,0
B,A,A,A,B,B,C,A,C,B,B,B,B,A,A,B,B,B,B,B,A,0
B,A,A,A,B,B,C,A,C,B,B,B,B,A,A,B,B,C,B,B,A,0
B,A,A,A,B,B,C,A,C,B,B,B,B,B,A,A,B,B,B,B,B,0
B,A,A,A,B,B,C,A,C,B,B,B,B,B,A,C,B,B,B,B,A,0
B,A,A,A,B,B,C,A,C,B,B,B,B,B,B,C,B,B,B,B,A,0
B,A,A,A,B,B,C,A,C,B,B,B,C,A,A,A,B,B,B,B,A,0
B,A,A,A,B,B,C,A,C,B,B,B,C,A,A,B,B,B,B,B,A,0
B,A,A,A,B,B,C,A,C,B,B,B,C,B,A,B,B,B,B,B,A,0
B,A,A,A,B,B,C,B,B,B,A,B,C,A,A,A,B,A,B,B,B,0
B,A,A,A,B,B,C,B,B,B,B,B,B,A,A,B,B,A,B,B,B,0
B,A,A,A,B,B,C,B,B,B,B,B,B,A,A,B,B,B,B,B,A,0
B,A,A,A,B,B,C,B,B,B,B,B,C,A,A,B,B,B,B,B,B,0
B,A,A,A,B,C,B,D,B,C,C,C,C,A,A,C,B,B,B,C,B,0
B,A,A,A,B,C,C,B,C,B,C,B,B,A,A,A,B,C,B,C,A,0
B,A,A,A,B,C,C,B,C,B,C,B,B,A,A,B,B,B,B,B,A,0
B,A,A,A,B,C,C,B,C,B,C,B,B,A,A,B,B,B,B,C,A,0
B,A,A,A,C,C,B,D,B,C,C,C,A,A,B,A,B,A,C,C,B,0
B,A,A,A,C,C,B,D,C,B,C,B,B,A,A,A,B,C,B,C,A,0
B,A,A,A,C,C,B,D,C,B,C,B,C,A,A,B,C,C,B,C,B,0
B,A,A,A,C,C,B,D,C,C,C,C,B,A,B,B,B,C,C,C,B,0
B,A,A,A,C,C,B,D,C,C,C,C,B,B,A,B,B,C,C,C,A,0
B,A,A,A,C,C,B,D,C,C,C,C,C,B,A,B,B,C,C,C,B,0
B,A,A,A,C,C,C,A,C,B,C,B,C,A,A,B,B,B,C,C,A,0
B,A,A,A,C,C,C,A,C,B,C,B,C,B,A,B,B,C,B,C,A,0
B,B,A,A,A,B,B,D,B,B,A,B,A,A,A,A,B,A,B,A,C,0
B,B,A,A,A,B,B,D,B,B,A,B,B,A,A,A,B,A,B,A,C,0
B,B,A,A,A,B,B,D,B,B,A,B,B,A,A,A,B,A,B,B,C,0
B,B,A,A,A,B,B,D,B,B,A,B,B,A,A,B,B,A,B,A,C,0
B,B,A,A,A,B,B,D,B,B,A,B,B,A,A,B,B,A,B,B,C,0
B,B,A,A,A,B,B,D,B,B,A,B,C,A,A,A,B,A,B,B,C,0
B,B,A,A,A,B,B,D,B,B,B,B,B,A,A,A,B,A,B,B,C,0
B,B,A,A,A,B,C,A,B,B,A,B,A,A,A,A,B,A,B,A,C,0
B,B,A,A,A,B,C,A,B,B,A,B,A,A,A,A,B,A,B,B,C,0
B,B,A,A,A,B,C,A,B,B,A,B,A,A,A,B,B,A,B,A,C,0
B,B,A,A,A,B,C,A,B,B,A,B,B,A,A,A,B,A,B,A,B,0
B,B,A,A,A,B,C,A,B,B,A,B,B,A,A,A,B,A,B,A,C,0
B,B,A,A,A,B,C,A,B,B,A,B,B,A,A,A,C,A,B,A,C,0
B,B,A,A,A,B,C,A,B,B,A,B,C,A,A,B,B,A,B,A,C,0
B,B,A,A,A,B,C,A,B,B,A,B,C,B,A,B,B,A,B,A,C,0
B,B,A,A,A,B,C,B,B,B,A,B,A,A,A,B,B,A,B,A,C,0
B,B,A,A,A,B,C,B,B,B,A,B,A,B,B,C,B,A,B,B,C,0
B,B,A,A,A,B,C,B,B,B,A,B,B,A,B,A,B,A,B,A,C,0
B,B,A,A,B,B,B,C,B,B,B,B,B,A,A,A,B,A,B,B,C,0
B,B,A,A,B,B,B,C,B,B,B,B,B,A,B,B,B,B,B,B,C,0
B,B,A,A,B,B,B,D,B,B,B,B,B,A,A,A,B,A,B,A,C,0
B,B,A,A,B,B,B,D,B,B,B,B,B,A,A,A,B,A,B,B,C,0
B,B,A,A,B,B,B,D,B,B,B,B,B,A,A,A,C,A,B,B,C,0
B,B,A,A,B,B,B,D,B,B,B,B,B,A,A,A,C,B,B,B,C,0
B,B,A,A,B,B,B,D,B,B,B,B,B,A,B,A,B,A,B,B,C,0
B,B,A,A,B,B,B,D,B,B,B,B,B,A,B,B,B,B,B,B,C,0
B,B,A,A,B,B,B,D,B,B,B,B,C,A,A,A,B,A,B,B,C,0
B,B,A,A,B,B,B,D,B,B,B,B,C,A,A,A,C,A,B,B,C,0
B,B,A,A,B,B,B,D,B,B,B,B,C,A,A,A,C,B,B,B,C,0
B,B,A,A,B,B,B,D,B,B,B,B,C,B,A,B,B,A,B,B,C,0
B,B,A,A,B,B,B,D,B,C,B,C,B,A,A,A,C,A,B,B,C,0
B,B,A,A,B,B,B,D,B,C,B,C,B,A,B,A,C,B,B,B,C,0
B,B,A,A,B,B,B,D,B,C,B,C,C,A,A,A,C,A,B,B,C,0
B,B,A,A,B,B,B,D,B,C,B,C,C,A,A,A,C,B,B,B,C,0
B,B,A,A,B,B,C,A,B,B,B,B,B,A,A,C,B,B,B,B,C,0
B,B,A,A,B,B,C,A,B,B,B,B,B,A,B,B,B,B,B,B,C,0
B,B,A,A,B,B,C,A,B,B,B,B,C,A,A,A,B,A,B,B,C,0
B,B,A,A,B,B,C,A,C,B,B,B,B,A,B,B,B,C,B,B,C,0
B,B,A,A,B,B,C,B,B,B,B,B,B,A,A,A,C,B,B,B,C,0
B,B,A,A,B,B,C,B,B,B,B,B,B,A,B,A,B,B,B,B,C,0
B,B,A,A,B,C,B,D,B,B,C,B,C,A,A,B,C,B,B,B,C,0
B,B,A,A,B,C,B,D,B,C,C,C,C,A,A,A,C,B,B,C,C,0
B,B,A,A,B,C,B,D,C,B,C,B,B,A,B,B,C,C,B,B,C,0
B,B,A,B,A,B,B,C,B,B,B,B,B,A,A,A,B,B,B,B,C,0
B,B,A,B,A,B,B,D,B,B,A,B,A,A,A,A,B,A,B,B,C,0
B,B,A,B,A,B,B,D,B,B,A,B,C,A,A,A,B,A,B,B,C,0
B,B,A,B,A,B,B,D,B,B,B,B,A,A,A,A,B,A,B,B,C,0
B,B,A,B,A,B,C,A,B,B,A,B,A,A,A,A,B,A,B,A,C,0
B,B,A,B,A,B,C,A,B,B,A,B,A,A,B,A,B,A,B,A,C,0
B,B,A,B,A,B,C,A,B,B,A,B,B,A,A,A,B,A,B,A,C,0
B,B,A,B,A,B,C,A,B,B,A,B,B,A,B,B,B,A,B,A,B,0
B,B,A,B,A,B,C,A,B,B,A,B,B,A,B,B,B,A,B,A,C,0
B,B,A,B,A,B,C,A,B,B,A,B,C,A,A,A,B,A,B,A,C,0
B,B,A,B,A,B,C,A,B,B,B,B,C,A,A,A,B,A,B,B,C,0
B,B,A,B,A,B,C,A,C,B,B,B,C,A,A,A,B,B,B,B,C,0
B,B,A,B,B,B,B,C,B,B,B,B,A,A,A,A,B,A,B,B,C,0
B,B,A,B,B,B,B,D,B,B,B,B,B,A,A,A,B,A,B,B,C,0
B,B,A,B,B,B,B,D,B,B,B,B,B,A,A,A,C,A,B,B,C,0
B,B,A,B,B,B,B,D,B,B,B,B,C,A,A,A,B,B,B,B,C,0
B,B,A,B,B,B,B,D,B,B,B,B,C,A,A,A,C,B,B,B,C,0
B,B,A,B,B,B,B,D,B,C,B,C,B,A,A,A,B,A,B,B,C,0
B,B,A,B,B,B,B,D,B,C,B,C,C,A,B,A,B,A,B,B,C,0
B,B,A,B,B,B,C,A,B,B,B,B,B,A,A,A,B,B,B,B,C,0
B,B,A,B,B,B,C,B,B,B,B,B,A,A,A,A,B,A,B,B,C,0
B,B,A,B,B,B,C,B,B,B,B,B,A,A,A,A,B,B,B,B,C,0
B,B,A,B,B,B,C,B,B,B,B,B,C,A,A,A,B,A,B,B,C,0
B,B,A,B,B,B,C,B,B,B,B,B,C,A,A,C,B,B,B,B,C,0
B,B,A,B,C,C,B,D,B,C,C,C,C,A,A,B,C,B,B,C,C,0
B,B,A,C,A,B,B,D,B,B,A,B,A,A,A,A,B,A,B,A,C,0
B,B,A,C,A,B,B,D,B,B,B,B,B,A,A,A,C,A,B,B,C,0
B,B,A,C,A,B,C,A,B,B,A,B,A,A,B,A,B,A,B,B,C,0
B,B,A,C,A,B,C,A,B,B,A,B,A,B,B,B,B,A,B,A,C,0
B,B,A,C,A,B,C,A,B,B,A,B,B,A,A,B,B,A,B,A,C,0
B,B,A,C,B,B,B,D,B,B,B,B,A,A,A,A,B,A,B,B,C,0
B,B,A,C,B,B,B,D,B,B,B,B,B,A,A,A,B,A,B,B,C,0
B,B,A,C,B,B,B,D,B,B,B,B,B,A,A,A,C,A,B,B,C,0
B,B,A,C,B,B,B,D,B,C,B,C,C,A,A,A,C,A,B,B,C,0
B,B,A,C,B,B,C,A,B,B,B,B,C,A,B,A,B,B,B,B,C,0
B,B,A,C,B,C,B,D,B,B,C,B,B,A,A,A,B,B,B,C,C,0
B,B,A,C,B,C,B,D,B,C,C,C,B,A,A,B,C,A,B,C,C,0
B,B,A,C,B,C,B,D,B,C,C,C,C,A,A,A,B,B,B,C,C,0
B,B,A,C,B,C,C,A,C,B,C,B,C,A,A,A,B,C,B,C,C,0
B,B,A,C,C,C,B,D,B,C,C,C,C,A,A,A,C,B,C,C,C,0
B,B,A,C,C,C,B,D,B,C,C,C,C,A,A,B,C,B,C,C,C,0
C,A,A,A,A,B,C,A,C,B,A,B,C,B,A,C,B,A,B,A,B,0
C,A,A,A,B,B,B,C,B,B,B,B,C,A,A,A,B,A,B,B,B,0
C,A,A,A,B,B,B,D,B,B,B,B,C,A,A,A,B,A,B,B,B,0
C,A,A,A,B,B,B,D,B,B,B,B,C,A,A,A,B,A,B,C,B,0
C,A,A,A,B,B,B,D,B,B,B,B,C,A,A,A,B,B,B,B,B,0
C,A,A,A,B,B,B,D,B,B,B,B,C,A,A,A,C,B,B,B,B,0
C,A,A,A,B,B,C,A,B,B,B,B,C,A,A,A,B,B,B,B,A,0
C,A,A,A,B,B,C,A,B,B,B,B,C,A,A,B,B,A,B,B,A,0
C,A,A,A,B,B,C,A,B,B,B,B,C,A,A,B,B,B,B,B,B,0
C,A,A,A,B,B,C,A,B,B,B,B,C,A,A,C,B,B,B,B,B,0
C,A,A,A,B,B,C,A,B,B,B,B,C,B,A,C,B,A,B,B,A,0
C,A,A,A,B,B,C,A,B,B,B,B,C,B,A,C,B,B,B,B,A,0
C,A,A,A,B,B,C,A,C,B,B,B,C,A,A,A,B,B,B,B,A,0
C,A,A,A,B,B,C,A,C,B,B,B,C,A,A,A,B,B,B,B,B,0
C,A,A,A,B,B,C,A,C,B,B,B,C,A,A,C,B,B,B,B,B,0
C,A,A,A,B,B,C,A,C,B,B,B,C,B,A,C,B,C,B,B,A,0
C,A,A,A,B,B,C,A,C,B,B,B,C,B,A,C,B,C,B,B,B,0
C,A,A,A,B,B,C,A,C,B,B,B,C,B,B,B,B,B,B,B,B,0
C,A,A,A,B,B,C,A,C,B,B,B,C,B,B,C,B,B,B,B,A,1
C,A,A,A,B,B,C,A,C,B,C,B,C,A,A,C,B,C,B,C,B,0
C,A,A,A,B,B,C,B,B,B,B,B,C,A,A,A,B,B,B,B,B,0
C,A,A,A,B,C,B,D,B,B,C,B,C,A,A,A,B,B,C,B,B,0
C,A,A,A,B,C,B,D,B,B,C,B,C,B,B,C,C,B,B,B,B,1
C,A,A,A,B,C,C,A,C,B,C,B,C,A,A,C,B,C,B,C,A,0
C,A,A,A,B,C,C,A,C,B,C,B,C,B,A,B,B,B,C,B,A,0
C,A,A,A,B,C,C,A,D,B,C,B,C,A,A,A,B,C,B,C,A,0
C,A,A,A,C,C,B,B,C,C,C,C,C,A,B,B,B,C,C,C,A,0
C,A,A,A,C,C,B,C,C,B,C,B,C,A,B,B,B,C,C,C,B,0
C,A,A,A,C,C,B,D,B,C,C,C,C,A,A,B,B,B,C,C,B,0
C,A,A,A,C,C,B,D,B,C,C,C,C,A,B,A,C,A,C,C,C,0
C,A,A,A,C,C,B,D,C,B,C,B,C,A,B,C,C,C,C,C,B,0
C,A,A,A,C,C,B,D,C,B,C,B,C,B,A,C,B,C,C,C,A,0
C,A,A,A,C,C,B,D,C,C,C,C,C,A,A,A,B,C,C,C,A,0
C,A,A,A,C,C,B,D,C,C,C,C,C,A,A,A,C,C,C,C,B,0
C,A,A,A,C,C,B,D,C,C,C,C,C,A,A,C,C,C,C,C,B,0
C,A,A,A,C,C,B,D,C,C,C,C,C,A,B,B,C,C,C,C,B,0
C,A,A,A,C,C,B,D,C,C,C,C,C,B,A,B,B,C,C,C,B,0
C,A,A,A,C,C,B,D,C,C,C,C,C,B,A,C,B,C,C,C,A,0
C,A,A,A,C,C,B,D,C,C,C,C,C,B,A,C,B,C,C,C,B,0
C,A,A,A,C,C,B,D,C,C,C,C,C,B,A,C,C,C,C,C,A,0
C,A,A,A,C,C,B,D,C,C,C,C,C,B,B,C,C,C,C,C,A,1
C,A,A,A,C,C,B,D,C,C,C,C,C,B,B,C,C,C,C,C,B,0
C,A,A,A,C,C,B,D,C,D,C,D,C,A,B,A,D,C,C,C,C,0
C,A,A,A,C,C,B,D,D,C,C,C,C,A,A,C,B,C,C,C,A,0
C,A,A,A,C,C,B,D,D,C,C,C,C,A,B,C,B,C,C,C,B,0
C,A,A,A,C,C,B,D,D,C,C,C,C,B,A,C,B,C,C,C,A,0
C,A,A,A,C,C,B,D,D,C,C,C,C,B,A,C,C,C,C,C,B,0
C,A,A,A,C,C,B,D,D,D,D,D,C,A,A,B,B,C,D,D,B,0
C,A,A,A,C,C,C,A,C,B,C,B,C,A,A,C,B,C,B,C,B,0
C,A,A,A,C,C,C,A,D,B,C,B,C,A,A,B,B,C,C,B,A,0
C,A,A,A,C,C,C,A,D,B,C,B,C,A,A,C,B,C,C,C,A,0
C,A,A,A,C,C,C,A,D,B,C,B,C,B,A,B,B,C,C,C,A,0
C,A,A,A,C,C,C,A,D,C,C,C,C,A,A,C,B,C,C,C,A,0
C,A,A,A,C,C,C,A,D,C,C,C,C,A,B,C,B,C,C,C,B,1
C,A,A,A,C,C,C,A,D,C,C,C,C,B,B,B,B,C,C,C,A,0
C,B,A,A,A,B,B,D,B,B,B,B,C,A,A,B,B,A,B,B,C,0
C,B,A,A,A,B,C,A,B,B,A,B,C,A,A,A,B,A,B,A,C,0
C,B,A,A,A,B,C,A,B,B,A,B,C,A,A,B,B,B,B,A,C,0
C,B,A,A,A,B,C,A,B,B,A,B,C,A,A,C,B,B,B,A,C,0
C,B,A,A,A,B,C,A,B,B,A,B,C,B,A,B,B,A,B,A,C,0
C,B,A,A,A,B,C,A,B,B,B,B,C,A,B,A,B,A,B,B,C,0
C,B,A,A,A,B,C,B,B,B,A,B,C,A,A,A,B,A,B,A,C,0
C,B,A,A,B,B,B,D,B,B,B,B,C,A,A,A,B,A,B,B,C,0
C,B,A,A,B,B,B,D,B,B,B,B,C,A,A,A,C,A,B,B,C,0
C,B,A,A,B,B,B,D,B,B,B,B,C,A,A,B,B,A,B,C,C,0
C,B,A,A,B,B,B,D,B,B,B,B,C,A,B,A,B,B,B,B,C,0
C,B,A,A,B,B,B,D,B,B,B,B,C,A,B,A,C,B,B,B,C,1
C,B,A,A,B,B,B,D,B,B,B,B,C,A,B,B,B,B,B,B,C,0
C,B,A,A,B,B,B,D,B,B,B,B,C,B,A,C,B,B,B,B,C,0
C,B,A,A,B,B,B,D,B,B,B,B,C,B,B,B,C,B,B,B,C,0
